Code,Name,HSN,GST Id,gst in per,Purchase Price,Price Margin,Retail Price,Category Code
96,PRINTED AND KESH,,13,0.05,673.26,363.5604,1036.7704,11
97,67984(IND),,13,0.05,624.82,337.4028,962.1728,11
98,TRM HANDLOOM KASAVU 7780,,13,0.05,398.35,215.109,613.409,11
99,FANCY DHOTI A,,13,0.05,181.59,98.0586,279.5986,11
100,TRM HANDLOOM KASAVU 7780,,13,0.05,398.35,215.109,613.409,11
101,60SPALIN SAREE,,13,0.05,494.93,267.2622,762.1422,11
102,2623 TISSUE SAREE,,13,0.05,481.62,260.0748,741.6448,11
103,65672(TSD),,13,0.05,895.58,483.6132,1379.1432,11
104,HL PLAIN SAREE,,13,0.05,1169.83,631.7082,1801.4882,11
105,PLAIN KESH SAREE,,13,0.05,500,270,769.95,11
106,PLAIN KHESH,,13,0.05,619.4,334.476,953.826,11
107,BLOCK PRINT KERALA COTTON I,,13,0.05,563.88,304.4952,868.3252,11
108,80SSELF,,13,0.05,984.85,531.819,1516.619,11
109,TRM HANDLOOM KASAVU 218,,13,0.05,500.49,270.2646,770.7046,11
110,MIXED ,,13,0.05,1691.64,913.4856,2605.0756,11
111,PRINTED AND KESH,,13,0.05,673.26,363.5604,1036.7704,11
112,BLOCK PRINT SUPER NET KOTA II,,13,0.05,1281.55,692.037,1973.537,11
113,KADHI SAREE,,13,0.05,897.55,484.677,1382.177,11
114,BLOCK PRINT KERALA COTTON II,,13,0.05,461.36,249.1344,710.4444,11
115,TRM HANDLOOM KASAVU 4445,,13,0.05,561.77,303.3558,865.0758,11
116,TRM HANDLOOM KASAVU 8888,,13,0.05,602.63,325.4202,928.0002,11
117,68989(CSD),,13,0.05,706.71,381.6234,1088.2834,11
118,SAREE 69395,,13,0.05,888.31,479.6874,1367.9474,11
119,BLOCK PRINT KERALA COTTON I,,13,0.05,563.88,304.4952,868.3252,11
120,KHADI SAREE,,13,0.05,624.13,337.0302,961.1102,11
121,SAREE 70232,,13,0.05,779.65,421.011,1200.611,11
122,8OSSELF,,13,0.05,984.85,531.819,1516.619,11
123,SAREE 69877,,13,0.05,377.69,203.9526,581.5926,11
124,KASH BLACK SAREE,,13,0.05,650,351,1000.95,11
125,,,13,0.05,,0,-0.05,
126,,,13,0.05,,0,-0.05,
127,,,13,0.05,,0,-0.05,
128,,,13,0.05,,0,-0.05,
129,,,13,0.05,,0,-0.05,
130,,,13,0.05,,0,-0.05,
131,,,13,0.05,,0,-0.05,
132,,,13,0.05,,0,-0.05,
133,,,13,0.05,,0,-0.05,
134,,,13,0.05,,0,-0.05,
135,,,13,0.05,,0,-0.05,
136,,,13,0.05,,0,-0.05,
137,,,13,0.05,,0,-0.05,
138,,,13,0.05,,0,-0.05,
139,,,13,0.05,,0,-0.05,
140,,,13,0.05,,0,-0.05,
141,,,13,0.05,,0,-0.05,
142,,,13,0.05,,0,-0.05,
143,,,13,0.05,,0,-0.05,
144,,,13,0.05,,0,-0.05,
145,,,13,0.05,,0,-0.05,
146,,,13,0.05,,0,-0.05,
147,,,13,0.05,,0,-0.05,
148,,,13,0.05,,0,-0.05,
149,,,13,0.05,,0,-0.05,
150,,,13,0.05,,0,-0.05,
151,,,13,0.05,,0,-0.05,
152,,,13,0.05,,0,-0.05,
153,,,13,0.05,,0,-0.05,
154,,,13,0.05,,0,-0.05,
155,,,13,0.05,,0,-0.05,
156,,,13,0.05,,0,-0.05,
157,,,13,0.05,,0,-0.05,
158,,,13,0.05,,0,-0.05,
159,,,13,0.05,,0,-0.05,
160,,,13,0.05,,0,-0.05,
161,,,13,0.05,,0,-0.05,
162,,,13,0.05,,0,-0.05,
163,,,13,0.05,,0,-0.05,
164,,,13,0.05,,0,-0.05,
165,,,13,0.05,,0,-0.05,
166,,,13,0.05,,0,-0.05,
167,,,13,0.05,,0,-0.05,
168,,,13,0.05,,0,-0.05,
169,,,13,0.05,,0,-0.05,
170,,,13,0.05,,0,-0.05,
171,,,13,0.05,,0,-0.05,
172,,,13,0.05,,0,-0.05,
173,,,13,0.05,,0,-0.05,
174,,,13,0.05,,0,-0.05,
175,,,13,0.05,,0,-0.05,
176,,,13,0.05,,0,-0.05,
177,,,13,0.05,,0,-0.05,
178,,,13,0.05,,0,-0.05,
179,,,13,0.05,,0,-0.05,
180,,,13,0.05,,0,-0.05,
181,,,13,0.05,,0,-0.05,
182,,,13,0.05,,0,-0.05,
183,,,13,0.05,,0,-0.05,
184,,,13,0.05,,0,-0.05,
185,,,13,0.05,,0,-0.05,
186,,,13,0.05,,0,-0.05,
187,,,13,0.05,,0,-0.05,
188,,,13,0.05,,0,-0.05,
189,,,13,0.05,,0,-0.05,
190,,,13,0.05,,0,-0.05,
191,,,13,0.05,,0,-0.05,
192,,,13,0.05,,0,-0.05,
193,,,13,0.05,,0,-0.05,
194,,,13,0.05,,0,-0.05,
195,,,13,0.05,,0,-0.05,
196,,,13,0.05,,0,-0.05,
197,,,13,0.05,,0,-0.05,
198,,,13,0.05,,0,-0.05,
199,,,13,0.05,,0,-0.05,
200,,,13,0.05,,0,-0.05,
201,,,13,0.05,,0,-0.05,
202,,,13,0.05,,0,-0.05,
203,,,13,0.05,,0,-0.05,
204,,,13,0.05,,0,-0.05,
205,,,13,0.05,,0,-0.05,
206,,,13,0.05,,0,-0.05,
207,,,13,0.05,,0,-0.05,
208,,,13,0.05,,0,-0.05,
209,,,13,0.05,,0,-0.05,
210,,,13,0.05,,0,-0.05,
211,,,13,0.05,,0,-0.05,
212,,,13,0.05,,0,-0.05,
213,,,13,0.05,,0,-0.05,
214,,,13,0.05,,0,-0.05,
215,,,13,0.05,,0,-0.05,
216,,,13,0.05,,0,-0.05,
217,,,13,0.05,,0,-0.05,
218,,,13,0.05,,0,-0.05,
219,,,13,0.05,,0,-0.05,
220,,,13,0.05,,0,-0.05,
221,,,13,0.05,,0,-0.05,
222,,,13,0.05,,0,-0.05,
223,,,13,0.05,,0,-0.05,
224,,,13,0.05,,0,-0.05,
225,,,13,0.05,,0,-0.05,
226,,,13,0.05,,0,-0.05,
227,,,13,0.05,,0,-0.05,
228,,,13,0.05,,0,-0.05,
229,,,13,0.05,,0,-0.05,
230,,,13,0.05,,0,-0.05,
231,,,13,0.05,,0,-0.05,
232,,,13,0.05,,0,-0.05,
233,,,13,0.05,,0,-0.05,
234,,,13,0.05,,0,-0.05,
235,,,13,0.05,,0,-0.05,
236,,,13,0.05,,0,-0.05,
237,,,13,0.05,,0,-0.05,
238,,,13,0.05,,0,-0.05,
239,,,13,0.05,,0,-0.05,
