Code,Name,HSN,GST Id,Purchase Price,Price Margin,Retail Price,Category Code
512,CLUTCH FACE starcity oe,123456,0,332,0,170,TVS
511,CLUTCH FACE apache oe,123456,0,415,0,240,TVS
522,MIRROR bullet LH MINDA,123456,0,349,0,260,BAJAJ
520,CLUTCH FACE discover150/xcd oe packing,123456,0,440,0,190,BAJAJ
663,SIDE STAND ct100/4s/boxer ZODIX,123456,0,84,0,59,BAJAJ
319,CHAIN SPROCKET splendor pro/nxg ROLON,123456,0,654,0,537,HERO HONDA
599,CUSH RUBBER unicorn/dazzler ROLON,123456,0,111,0,78,HONDA
863,SEAT COVER victor,123456,0,180,0,125,TVS
924,SERVO 1ltr,123456,0,247,0,187,ENGINE OIL
895,CLUTCH CENTER splendor KQ,123456,0,109,0,87,HERO HONDA
116,SM CABLE shine LAREX,123456,0,107,0,75,CABLES
377,HL SWITCH activa MINDA,123456,0,79,0,58,HONDA
492,TIMING CHAIN apache oe packing,123456,0,481,0,150,TVS
848,SEAT COVER shine standerd,123456,0,170,0,120,HONDA
580,HORN BOSCH SINGLE 175,123456,0,175,0,135,HONDA
684,KICKER LIVER splendor/passion ZODIX,123456,0,274,0,192,HERO HONDA
656,CONE SET kinetic honda zodix,123456,0,168,0,118,HONDA
525,FLASH UNIT,123456,0,48,0,36,COMMEN
1121,CLUTCH PACKING activa DONEX,123456,0,25,0,18,HONDA
326,CHAIN SPROCKET libero ROLON,123456,0,837,0,687,YAMAHA
698,VALVE cd100/splendor/passion,123456,0,192,0,138,HERO HONDA
660,SIDE STAND kinetic honda iad,123456,0,240,0,198,HONDA
662,SIDE STAND activa LATEST BA,123456,0,189,0,133,HONDA
2663,GEARBOX PACKING activa,123456,0,20,0,7,HONDA
367,VARIATOR BUSH activa O/M VHPL,123456,0,114,0,86,HONDA
368,VARIATOR BUSH activa N/M VHPL,123456,0,118,0,90,HONDA
736,MAGNET OIL SEAL pulsar/discover,123456,0,15,0,10.5,BAJAJ
2667,TOP GEAR SEAL pulsar/discover,123456,0,18,0,13,BAJAJ
730,KICKER OIL SEAL pulsar/discover fider,123456,0,17.5,0,12,BAJAJ
737,GEAR SHAFT OIL SEAL hh HTA,123456,0,15,0,13,HERO HONDA
733,TOP GEAR OIL SEAL hh fider,123456,0,13.75,0,9.65,HERO HONDA
2671,KICKER SHAFT SEAL hh PIONEER,123456,0,14,0,11,HERO HONDA
732,KICKER OIL SEAL 4s/caliber/pulsar/discover/ct/platina FIDER,123456,0,15,0,11,BAJAJ
734,TOP GEAR OIL SEAL 4s/caliber/ct/platina/boxer,123456,0,16,0,11,BAJAJ
731,MAGNET OIL SEAL 4s/caliber/boxer/ct/platina,123456,0,24,0,16.8,BAJAJ
651,CONE SET activa zodix,123456,0,198,0,132,HONDA
516,CLUTCH METAL PLATE hh ZODIX,123456,0,72,0,49,HERO HONDA
468,CLUTCH SHOU activa N/M ask,123456,0,510,0,263,HONDA
738,GEAR SHAFT OIL SEAL 4s/caliber/boxer/ct,123456,0,14,0,10,BAJAJ
2685,ENGINE GUARD splendor/passion,123456,0,145,0,87,HERO HONDA
327,CHAIN SPROCKET twister ROLON,123456,0,1151,0,945,HONDA
721,WIND SHIELD discover ARROW,123456,0,120,0,84,BAJAJ
898,KICKER SPRING discover IAD,123456,0,24,0,15,BAJAJ
357,CAM SHAFT activa N/M,123456,0,720,0,468,HONDA
1238,BREAK PEDAL SPRING discvoer,123456,0,16,0,9,BAJAJ
605,CUSH RUBBER shine PIONEER,123456,0,71,0,52,HONDA
601,CUSH RUBBER discover/platina steelbird,123456,0,99,0,77,BAJAJ
217,BREAK CABLE glamour/sup splendor NARBADA,123456,0,107,0,75,HERO HONDA
386,CLUTCH SHOU BUSH KIT activa,123456,0,30,0,21,HONDA
361,CLUTCH SHOU SPRING activa O/M ryde,123456,0,20,0,12,HONDA
866,SM CABLE splendor N/M REMSON,123456,0,77,0,53,CABLES
