Code,Name,HSN,GST Id,Purchase Price,Price Margin,Retail Price,Category Code
1362,INDICATOR starcity REAR OWIN,,5,49,0,70,C00006
1363,INDICATOR GLASS activa N/M FORNT RH VHPL,,5,81,0,108,C00004
1364,NUMBER PLATE activa N/M FRONT PIVO,,5,40,0,61,C00003
1365,INDICATOR GLASS activa N/M REAR,,5,130,0,170,C00004
1366,NUMBER PLATE activa N/M SMALL 7,,5,33,0,47,C00004
1367,TANK COVER hh LTHR,,5,130,0,200,C00002
182,AIR FILTER discover N/M KM,,5,120,0,178,C00007
209,CHAIN SPROCKET discover 125st ROLON,,5,902,0,1100,C00003
165,CHAIN COVER rx ABM,,5,343,0,490,C00003
1266,MIRROR splendor plus LEFT FIEM,,5,77,0,103,C00002
539,WHEEL OIL SEAL activa,,5,16,0,20,C00004
,WHEEL RIM 275/18 GABRIEL,,5,523,0,645,C00007
222,SWITCH SET passion MINDA,,5,194,0,256,C00002
560,HUB COVER activa N/M SMALL VHPL,,5,22,0,40,C00004
688,HUB COVER activa/pleasure O/M VHPL,,5,24,0,30,C00004
328,KICKER LIVER activa N/M SI,,5,194,0,270,C00004
1216,CLUTCH CABLE libero g5 MINDA,,5,77,0,122,C00001
131,CLUTCH PACKING super spl/glamour SK,,5,16,0,24,C00002
635,FOOT REST ct100 REAR ZODIX,,5,72,0,104,C00005
646,VISOR pulsar BLACK,,5,440,0,536,C00005
603,HORN pulsar MINDA,,5,277,0,379,C00007
1277,FIRST GRIP pulsar ARUN,,5,54,0,72,C00005
1273,FLUG CAP unicorn SWISS,,5,47,0,62,C00004
1053,BRAKE SHOE activa N/M ASK,,5,104,0,175,C00010
1040,FULL PACKING KIT activa O/M SK,,5,52,0,70,C00004
1218,BRAKE SWITCH unicorn REAR MINDA,,5,45,0,54,C00009
1260,HORN SWITCH activa N/M MIDNA,,5,44,0,58,C00004
401,BREAK SHOU SPRING rx/libero,,5,2,0,5,C00003
1223,BENDEX CUP activa VHPL,,5,72,0,99,C00004
1059,WIND SHIELD pulsar OE,,5,82,0,120,C00005
931,BREAK PEDAL ct100/caliber ZODIX,,5,175,0,260,C00005
1034,VISOR shine O/M BLACK ARROW,,5,332,0,475,C00004
1035,MEETER GLASS activa N/M IAD,,5,69,0,115,C00004
1054,AIR FILTER pleasure KM,,5,80,0,115,C00002
