GROUP,SUB GROUP,PROD ID,SUPPLIER,Supplier name,REFFERENCE,BARCODE,potato,BRAND,PACK ID,UMUNIT,PACKING,PRICE LEV,RETAIL,TAX,TAX RETAIL
VEGETABLES                    ,VEGETABLES                    ,0100012208,310068    ,AL MEENA SUPERMARKET,311094              ,311094              ,POTATO BOX SMALL /KG          ,NONE                                    ,PCS,1,KG          ,1 ,1,VAT 5%                                            ,1.050
VEGETABLES                    ,VEGETABLES                    ,0100012172,369493    ,NARJIS ALI ABDULLA,310058              ,310058              ,LETTUCE HOLLAND / KG          ,NONE                                    ,PCS,1,KG          ,1 ,1.2,VAT 5%                                            ,1.260
VEGETABLES                    ,VEGETABLES                    ,0100012173,369493    ,NARJIS ALI ABDULLA,310059              ,310059              ,LOKI / KG                     ,NONE                                    ,PCS,1,KG          ,1 ,0.5,VAT 5%                                            ,0.525
VEGETABLES                    ,VEGETABLES                    ,0100012174,369493    ,NARJIS ALI ABDULLA,310060              ,310060              ,MUSHROOM / BOX                ,NONE                                    ,PCS,1,BOX         ,1 ,1,VAT 5%                                            ,1.050
VEGETABLES                    ,VEGETABLES                    ,0100012175,369493    ,NARJIS ALI ABDULLA,310061              ,310061              ,OKRA  / KG                    ,NONE                                    ,PCS,1,KG          ,1 ,0.95,VAT 5%                                            ,1.000
VEGETABLES                    ,VEGETABLES                    ,0100012176,369493    ,NARJIS ALI ABDULLA,310062              ,310062              ,ONION RED / KG                ,NONE                                    ,PCS,1,KG          ,1 ,0.3,VAT 5%                                            ,0.315
VEGETABLES                    ,VEGETABLES                    ,0100012177,369493    ,NARJIS ALI ABDULLA,310063              ,310063              ,ONION SMALL / KG              ,NONE                                    ,PCS,1,KG          ,1 ,0.95,VAT 5%                                            ,1.000
VEGETABLES                    ,VEGETABLES                    ,0100012178,369493    ,NARJIS ALI ABDULLA,310064              ,310064              ,ONION WHITE / KG              ,NONE                                    ,PCS,1,KG          ,1 ,0.4,VAT 5%                                            ,0.420
VEGETABLES                    ,VEGETABLES                    ,0100012179,369493    ,NARJIS ALI ABDULLA,310065              ,310065              ,PALAK KG                      ,NONE                                    ,PCS,1,KG          ,1 ,0.075,VAT 5%                                            ,0.080
VEGETABLES                    ,VEGETABLES                    ,0100012180,369493    ,NARJIS ALI ABDULLA,310066              ,310066              ,POTATO BIG / KG               ,NONE                                    ,PCS,1,KG          ,1 ,0.35,VAT 5%                                            ,0.370
